vehicle_no,device_id,sim_number,depot
KA01FA1742,150220222,8828031257,Depot-25
KA01F4525,150221162,8828031253,Depot-25
KA01FA2041,150219307,9987863596,Depot-28
KA01FA1609,150221183,8828031162,Depot-28
KA01F4610,150219357,9987862392,Depot-25
KA01FA1927,150221185,8828031175,Depot-28
KA01FA1610,150220627,9987863645,Depot-28
KA57F0998,150220354,8828031098,Depot-28
KA57F1181,150220230,8828031343,Depot-28
KA57F0907,150219612,9987862947,Depot-28
KA57F0823,150219339,8828031270,Depot-28
KA57F0792,150220910,9987863718,Depot-28
KA01FA1853,150221367,8828031142,Depot-28
KA01FA1814,150221404,9987863218,Depot-28
KA57F0822,150221047,8828031105,Depot-28
KA01FA2055,150221456,9987862426,Depot-28
KA01FA1946,150220120,8828031339,Depot-28
KA01F9094,150221312,8828031173,Depot-28
KA01FA1851,150221655,8828031231,Depot-28
KA01FA1551,150219685,8828031304,Depot-28
KA57F0124,150221065,9987862809,Depot-28
KA01FA1842,150220984,8828031342,Depot-28
KA01FA1818,150220685,9987862479,Depot-28
KA01FA1550,150220975,9987862758,Depot-28
KA57F0994,150220081,8828031086,Depot-28
KA01FA1930,150219989,8828031092,Depot-28
KA01FA2270,150220381,8828031325,Depot-28
KA01FA1929,150219727,9987862458,Depot-28
KA01FA1751,150221918,9987863585,Depot-28
KA57F0793,150221591,9987862539,Depot-28
KA57F1182,150221376,9987862556,Depot-28
KA01FA2043,150220195,8828031321,Depot-28
KA01FA2273,150220517,8828031035,Depot-28
KA01F9096,150220865,8828031104,Depot-28
KA01FA2267,150221901,9987862859,Depot-28
KA57F1117,150221712,8828031137,Depot-28
KA01F4526,150218349,9987863708,Depot-28
KA01F9124,150218024,9987862591,Depot-28
KA01FA1925,150221301,9987863290,Depot-28
KA57F1073,150220793,8828031326,Depot-28
KA01FA2263,150220182,8828031157,Depot-28
KA57F0903,150220818,9987863395,Depot-28
KA01FA1762,150221036,9987863553,Depot-07
KA57F1211,150219407,8828031126,Depot-28
KA57F1184,150218011,9987862837,Depot-28
KA57F0187,150221239,9987869296,Depot-13
KA57F0282,150221382,8828031180,Depot-13
KA57F0122,150221278,8828031091,Depot-13
KA57F0037,150222239,8828031097,Depot-13
KA01FA2264,150221704,8828031309,Depot-13
KA01FA2021,150220451,9987869683,Depot-13
KA01F4415,150220131,9987875439,Depot-13
KA01F8957,150221967,9987875219,Depot-13
KA57F0279,150222050,9987846405,Depot-13
KA57F0995,150218284,8828031341,Depot-13
KA01F9550,150219306,9987862618,Depot-13
KA01F9113,150221218,8828031329,Depot-13
KA01F8862,150219378,8828031134,Depot-13
KA01F4403,150221243,9987874789,Depot-13
KA57F1207,150220353,9987863234,Depot-13
KA01FA2017,150221685,8828031322,Depot-28
KA01FA1612,150220044,9987863650,Depot-28
KA01FA1687,150221615,8828031106,Depot-28
KA01F4325,150220209,8828031182,Depot-28
KA01FA2107,150220596,9987862318,Depot-13
KA57F0189,150218177,9987873841,Depot-13
KA01FA1679,150220257,9987871328,Depot-13
KA57F0299,150221862,9987869938,Depot-13
KA57F0899,150221492,9987874914,Depot-13
KA57F0008,150219239,9987873192,Depot-13
KA57F0849,150221452,9987865949,Depot-13
KA01FA1617,150220307,9987874272,Depot-13
KA01FA2378,150221498,8828031256,Depot-25
KA01FA2294,150220338,8828031294,Depot-25
KA01F4321,150221002,8828028661,Depot-25
KA01F4412,150220133,8828028703,Depot-25
KA01FA1365,150220779,8828031299,Depot-25
KA57F0906,150220841,8828031330,Depot-28
KA57F1200,150220750,8828031044,Depot-28
KA01F4528,150218111,9987862516,Depot-28
KA01FA1952,150221291,9987862850,Depot-28
KA57F0968,150219486,9987862407,Depot-28
KA01FA1850,150221887,9987863284,Depot-28
KA57F0928,150222241,8828031327,Depot-28
KA01F9561,150219667,9987863458,Depot-28
KA01F8835,150220149,8828031127,Depot-28
KA57F0973,150221495,8828031170,Depot-28
KA01F9025,150221383,8828031250,Depot-25
KA57F0235,150222230,8828031080,Depot-25
KA01F4379,150221171,8828031255,Depot-25
KA01FA1405,150221664,8828028681,Depot-25
KA57F1136,150219400,9987874881,Depot-18
KA57F1208,150220172,9987868194,Depot-18
KA57F1288,150221225,9987867628,Depot-18
KA57F1187,150222180,9987875018,Depot-18
KA57F0136,150221014,9987867547,Depot-18
KA57F0280,150219603,9987868041,Depot-18
KA57F0848,150221342,9987867502,Depot-18
KA57F1287,150222343,9987867019,Depot-18
KA57F0910,150220147,9987874844,Depot-18
KA57F1210,150221538,9987867985,Depot-18
KA57F1280,150220609,9987867708,Depot-18
KA57F0329,150218123,9987867456,Depot-18
KA57F1250,150219650,9987868253,Depot-18
KA57F0323,150220759,9987868241,Depot-18
KA57F0330,150220197,9987867144,Depot-18
KA01FA1848,150221287,9987873679,Depot-13
KA01FA1538,150220063,9987874209,Depot-13
KA01FA1537,150221518,9987862521,Depot-13
KA57F1195,150222141,9987869470,Depot-13
KA57F1277,150218189,9987863452,Depot-13
KA01FA1813,150221466,9987865972,Depot-13
KA01F9111,150220153,9987871924,Depot-13
KA57F0908,150220295,8828031269,Depot-13
KA01FA1747,150221224,9987874207,Depot-13
KA57F0900,150221213,8828031319,Depot-13
KA57F0039,150220269,9987863846,Depot-13
KA01FA1700,150221605,9987874640,Depot-13
KA57F0123,150220136,9987862709,Depot-13
KA01FA1743,150219405,9987865766,Depot-13
KA01F4602,150220085,9987862297,Depot-13
KA01FA1947,150220389,8828031308,Depot-13
KA01F9114,150220798,9987862623,Depot-13
KA57F0010,150220348,8828031090,Depot-13
KA57F0121,150221650,9987862672,Depot-13
KA01FA2013,150221297,9987869883,Depot-13
KA57F0322,150220139,8828031176,Depot-13
KA01F9010,150221418,9987869736,Depot-13
KA01F8956,150222184,9987873814,Depot-13
KA01FA1639,150221835,9987874803,Depot-13
KA01F9110,150220151,8828031029,Depot-25
KA01FA1418,150218315,8828031036,Depot-25
KA01F9125,150220834,8828031265,Depot-25
KA01F4605,150220748,8828028670,Depot-25
KA01FA2364,150218107,8828031251,Depot-25
KA01F4323,150219203,8828031258,Depot-25
KA57F0131,150221881,8828031244,Depot-25
KA01FA1841,150220632,9987869127,Depot-13
KA01FA1678,150221592,9987865770,Depot-13
KA57F0120,150221434,9987865794,Depot-13
KA57F1076,150221186,9987863819,Depot-13
KA01FA2291,150221684,8828031290,Depot-25
KA01F4324,150221737,8828028689,Depot-25
KA57F1135,150219786,9987873596,Depot-13
KA01F4517,150220850,8828028675,Depot-25
KA01FA1572,150221529,9987862447,Depot-28
KA01FA1595,150218341,9987863685,Depot-28
KA57F1281,150221705,9987867432,Depot-18
KA57F0966,150221286,9987868116,Depot-18
KA57F1046,150219274,9987867495,Depot-18
KA57F0138,150220994,9987867726,Depot-18
KA57F0956,150221415,9987867264,Depot-18
KA57F0911,150219855,9987868277,Depot-18
KA57F0805,150220349,8828031236,Depot-25
KA01F9109,150220272,8828028673,Depot-25
KA01F9569,150221905,8828031205,Depot-06
KA01F4380,150222261,8828031046,Depot-25
KA01F4383,150221910,8828030990,Depot-25
KA01FA2289,150220148,8828028697,Depot-25
KA57F1099,150221620,8828031239,Depot-25
KA57F0005,150218856,9987886119,Depot-06
KA57F0804,150220747,8828031229,Depot-25
KA57F1138,150220939,8828028695,Depot-25
KA01F9560,150220181,8828028672,Depot-25
KA01F9005,150221460,8828031049,Depot-25
KA01F8840,150222335,8828028698,Depot-25
KA57F0014,150219049,9987887682,Depot-06
KA01F9451,150218049,9987898322,Depot-02
KA57F1286,150222066,9987867881,Depot-18
KA57F1188,150220227,9987868039,Depot-18
KA01F4524,150218124,9987865911,Depot-13
KA57F0626,150219191,9987885121,Depot-06
KA01F9552,150218864,8828028495,Depot-06
KA01FA1965,150218629,8828028467,Depot-06
KA57F0466,150218308,8828028534,Depot-06
KA01F9557,150218427,9987885538,Depot-06
KA01F4530,150222002,9987863776,Depot-13
KA01FA0710,150219089,9987884524,Depot-06
KA01F2755,150219362,9987887353,Depot-06
KA01F9008,150220765,9987869559,Depot-13
KA01FA1786,150219007,8828028493,Depot-06
KA01F4595,150218135,9987868774,Depot-13
KA01FA1496,150218840,9987885456,Depot-06
KA01F4405,150220775,8828031179,Depot-13
KA57F0281,150221965,9987874665,Depot-13
KA01FA2124,150219476,9987869414,Depot-13
KA57F1044,150222246,9987863450,Depot-13
KA01FA1935,150221697,9987873022,Depot-13
KA01FA2281,150222937,8828028520,Depot-06
KA57F0188,150221398,9987874452,Depot-13
KA01F8683,150220036,8828028528,Depot-06
KA01F9546,150218264,9987884793,Depot-06
KA01FA1753,150220799,9987872845,Depot-13
KA01FA1932,150219895,9987862262,Depot-13
KA57F0127,150220266,9987865837,Depot-13
KA01FA1765,150219641,9987873064,Depot-13
KA01FA1844,150221088,9987863793,Depot-13
KA01FA1638,150221339,9987862275,Depot-13
KA01F8958,150219218,9987863750,Depot-13
KA01FA1548,150220835,8828031218,Depot-06
KA01FA1384,150221489,8828031311,Depot-13
KA57F0556,150218988,9987884811,Depot-06
KA01FA1933,150221678,9987869155,Depot-13
KA57F0600,150218641,8828031225,Depot-06
KA01FA1533,150220730,9987869164,Depot-13
KA57F1275,150222266,9987869221,Depot-13
KA57F0284,150219182,9987885229,Depot-06
KA01FA1372,150221420,9987865941,Depot-13
KA01F9493,150218429,9987884857,Depot-06
KA01F8630,150219852,8828028510,Depot-06
KA01F4320,150219968,8828031260,Depot-25
KA01F4761,150220192,8828028501,Depot-06
KA01FA0848,150221662,8828028502,Depot-06
KA01FA2290,150219598,8828031267,Depot-25
KA01F8718,150220226,8828028561,Depot-06
KA57F0996,150220861,8828031050,Depot-25
KA57F1098,150220260,8828028674,Depot-25
KA01FA1871,150218319,8828028580,Depot-06
KA01F4758,150221479,8828028490,Depot-06
KA01F9106,150221677,8828031246,Depot-25
KA01F8734,150220337,8828028478,Depot-06
KA01F9092,150221872,8828031284,Depot-25
KA01FA1320,150221315,8828028527,Depot-06
KA57F0785,150221957,9987867241,Depot-18
KA01FA0849,150220863,8828028518,Depot-06
KA57F1209,150220333,9987867738,Depot-18
KA01F3967,150221713,8828028579,Depot-06
KA57F0972,150222894,9987867594,Depot-18
KA01F3357,150219067,9987885258,Depot-06
KA01FA2285,150218910,8828028530,Depot-06
KA01FA0084,150218992,9987885402,Depot-06
KA01FA2237,150218973,9987884495,Depot-06
KA01FA1269,150218749,9987885038,Depot-06
KA57F0115,150221040,9987862322,Depot-13
KA57F0095,150220470,9987873067,Depot-13
KA01FA2084,150218530,9987885013,Depot-06
KA57F0315,150220744,9987869873,Depot-13
KA01FA1425,150218528,9987886158,Depot-06
KA01FA1349,150219864,9987887268,Depot-06
KA01FA0120,150219035,8828028494,Depot-06
KA01F9538,150221786,9987884759,Depot-06
KA57F0706,150218758,9987885683,Depot-06
KA01FA1881,150218267,9987885085,Depot-06
KA01FA0594,150218398,9987886183,Depot-06
KA01F4360,150218082,9987886762,Depot-06
KA57F0015,150218210,9987875191,Depot-13
KA57F0114,150221805,9987862358,Depot-13
KA01FA0047,150219010,9987885283,Depot-06
KA57F0019,150221849,9987873158,Depot-13
KA57F0048,150219622,8828028540,Depot-06
KA01F8820,150219651,8828028691,Depot-25
KA01F9364,150222933,8828028479,Depot-06
KA01FA1344,150219428,8828031275,Depot-25
KA57F0302,150220210,8828028504,Depot-06
KA01F9585,150218862,9987884948,Depot-06
KA01F9507,150220040,9987899544,Depot-02
KA57F0143,150220636,9987899133,Depot-02
KA01FA1827,150219023,9987884423,Depot-06
KA01F9492,150218506,9987887018,Depot-06
KA01F9366,150219178,9987898368,Depot-02
KA57F0470,150221032,9987899581,Depot-02
KA57F0233,150219860,9987899622,Depot-02
KA57F0445,150220141,9987899489,Depot-02
KA01F9387,150220196,9987899682,Depot-02
KA57F0444,150220206,9987899437,Depot-02
KA57F0520,150218578,9987898326,Depot-02
KA57F1166,150222534,9987891569,Depot-02
KA57F1139,150219969,9987898967,Depot-02
KA57F1047,150220671,9987862769,Depot-28
KA57F0839,150219118,9987891093,Depot-02
KA01F9026,150219780,9987862814,Depot-28
KA01FA2266,150221567,9987862960,Depot-28
KA01FA0395,150219057,9987891522,Depot-02
KA53F0063,150218378,9987890816,Depot-02
KA57F1198,150221958,8828031181,Depot-28
KA57F1074,150219967,8828031335,Depot-28
KA57F0082,150218829,9987891047,Depot-02
KA01FA0453,150222681,9987889067,Depot-02
KA57F0297,150218268,9987891451,Depot-02
KA01FA1285,150218389,60,Depot-02
KA01F8799,150221660,9987868014,Depot-18
KA57F1279,150220043,9987868016,Depot-18
KA01FA1359,150218965,9987889108,Depot-02
KA01FA2150,150221331,9987898262,Depot-02
KA01F9436,150219844,9987899432,Depot-02
KA57F0291,150218900,9987891209,Depot-02
KA01F9427,150222309,9987899511,Depot-02
KA01F9399,150219068,9987891239,Depot-02
KA01F9468,150219092,9987889513,Depot-02
KA57F0503,150218603,9987839572,Depot-03
KA01F9428,150221936,9987895952,Depot-02
KA57F0262,150218138,9987839779,Depot-03
KA57F0171,150218396,9987889800,Depot-02
KA57F0051,150220245,9987895520,Depot-02
KA01F9408,150219197,9987889545,Depot-02
KA57F0446,150218942,9987889985,Depot-02
KA01FA1216,150219790,9987836532,Depot-03
KA57F0272,150218990,9987890323,Depot-02
KA57F0077,150221947,9987899321,Depot-02
KA01F3735,150219210,9987837204,Depot-03
KA01F3994,150219005,9987865073,Depot-03
KA01FA2250,150220127,9987864470,Depot-03
KA01FA0264,150222413,9987836508,Depot-03
KA01FA0568,150222655,9987839526,Depot-03
KA01FA1007,150221120,9987864096,Depot-03
KA57F1169,150219388,9987840267,Depot-03
KA57F1370,150222769,9987836893,Depot-03
KA01FA1226,150219288,9987839463,Depot-03
KA01FA0316,150218921,9987866735,Depot-03
KA57F1167,150218858,9987836502,Depot-03
KA57F1337,150222134,9987837051,Depot-03
KA01F3922,150221329,9987838995,Depot-03
KA57F0838,150220110,8828028480,Depot-06
KA57F1172,150220964,9987864916,Depot-03
KA01F8765,150218059,8828028471,Depot-06
KA57F0806,150220657,8828031189,Depot-06
KA01FA0038,150220698,9987895561,Depot-02
KA01F9545,150221269,8828028557,Depot-06
KA01FA0438,150222592,9987891612,Depot-02
KA01FA0284,150219139,9987889357,Depot-02
KA01F4800,150218982,8828031210,Depot-06
KA01FA1008,150221829,9987899829,Depot-02
KA01F9418,150221573,8828028521,Depot-06
KA01FA0798,150221332,9987895718,Depot-02
KA01F3943,150218453,9987891592,Depot-02
KA01FA2130,150222174,8828031184,Depot-06
KA01FA0486,150221659,9987896027,Depot-02
KA01F4393,150220242,8828028513,Depot-06
KA01FA0209,150221758,9987899716,Depot-02
KA01FA0198,150219640,9987896039,Depot-02
KA01FA0107,150219199,8828031207,Depot-06
KA01FA0372,150221915,9987890116,Depot-02
KA01FA1823,150222572,9987891938,Depot-02
KA57F0837,150220300,8828031202,Depot-06
KA01FA0339,150220849,8828028514,Depot-06
KA01FA0121,150218459,9987890239,Depot-02
KA01FA1704,150221093,8828031194,Depot-06
KA57F0621,150220026,8828028499,Depot-06
KA57F0667,150222700,8828028466,Depot-06
KA01F9584,150219051,9987884665,Depot-06
KA57F0312,150221011,9987862351,Depot-13
KA57F0016,150219256,9987868525,Depot-13
KA01F9372,150218030,9987885051,Depot-06
KA57F0032,150220032,9987868645,Depot-13
KA01F9532,150219319,8828031204,Depot-06
KA57F0096,150221362,9987863726,Depot-13
KA57F0013,150221748,8828031224,Depot-06
KA57F0307,150218839,9987886343,Depot-06
KA57F0035,150221993,9987874334,Depot-13
KA01F9283,150219169,9987884534,Depot-06
KA57F0034,150221275,9987868305,Depot-13
KA57F0623,150218772,9987884434,Depot-06
KA57F0309,150218456,9987886244,Depot-06
KA57F0478,150218765,8828028497,Depot-06
KA57F0036,150219284,9987874289,Depot-13
KA01F9444,150220705,8828028476,Depot-06
KA01F9448,150218343,8828028463,Depot-06
KA57F0144,150222603,9987891547,Depot-02
KA57F0070,150222177,9987899668,Depot-02
KA01F9483,150222494,9987884994,Depot-06
KA57F0665,150218755,9987885642,Depot-06
KA57F0047,150218830,9987884484,Depot-06
KA01FA1858,150221577,9987899803,Depot-02
KA57F0277,150220894,9987873579,Depot-13
KA01F9318,150222391,9987874237,Depot-13
KA01F9574,150222217,8828028470,Depot-06
KA01FA2161,150218821,8828031208,Depot-06
KA01F9022,150218281,9987887067,Depot-06
KA57F0335,150220453,8828028505,Depot-06
KA57F0622,150221473,8828028537,Depot-06
KA01FA2006,150221399,8828028472,Depot-06
KA57F0601,150221000,8828028512,Depot-06
KA01F4546,150220038,8828028489,Depot-06
KA01F9443,150219069,9987887107,Depot-06
KA01F8894,150219771,8828031201,Depot-06
KA01F8600,150219113,9987885979,Depot-06
KA01FA1196,150222319,9987887291,Depot-06
KA01FA0211,150219384,9987887518,Depot-06
KA01FA0183,150220001,8828028475,Depot-06
KA01FA1419,150220092,8828031221,Depot-06
KA42F1674,150219648,8828028487,Depot-06
KA53F0065,150220009,8828028515,Depot-39
KA53F0041,150220722,8828031192,Depot-06
KA57F0313,150219245,8828028477,Depot-06
KA01F9282,150221135,8828028529,Depot-06
KA01F4388,150221471,9987886606,Depot-06
KA01FA2002,150218628,9987887410,Depot-06
KA42F1709,150218261,8828028486,Depot-06
KA01FA0474,150222677,8828031187,Depot-06
KA57F0303,150220250,9987887550,Depot-06
KA57F0007,150218563,9987886728,Depot-06
KA57F0624,150221241,8828028562,Depot-06
KA01FA2277,150219160,9987898325,Depot-02
KA01FA0277,150218928,9987889635,Depot-02
KA01FA2008,150220057,9987895982,Depot-02
KA01FA1335,150221483,9987895432,Depot-02
KA01FA0180,150218552,9987889326,Depot-02
KA01FA0661,150218869,9987891642,Depot-02
KA01FA0040,150218776,9987889581,Depot-02
KA01FA0478,150222193,9987899629,Depot-02
KA01FA0630,150219044,9987890256,Depot-02
KA57F0753,150218771,9987890219,Depot-02
KA01FA2279,150221228,9987898426,Depot-02
KA01FA2220,150222330,9987899685,Depot-02
KA01FA0417,150219644,9987895261,Depot-02
KA01FA0538,150220178,9987895916,Depot-02
KA01FA1940,150221864,9987899632,Depot-02
KA53F0015,150220471,9987895627,Depot-02
KA01F3602,150221676,9987899422,Depot-02
KA01FA0009,150218121,9987898417,Depot-02
KA01F3949,150218241,9987899781,Depot-02
KA01FA2252,150220109,9987899813,Depot-02
KA01FA1967,150220514,9987899703,Depot-02
KA01FA0225,150221565,9987898399,Depot-02
KA57F0270,150219008,9987891186,Depot-02
KA01FA0058,150218327,9987899718,Depot-02
KA01FA0508,150218297,9987890169,Depot-02
KA01F3253,150220611,9987899688,Depot-02
KA01FA0216,150218511,9987891607,Depot-02
KA01F8801,150222930,9987899719,Depot-02
KA01FA2035,150218950,9987889258,Depot-02
KA01FA2085,150218064,9987889136,Depot-02
KA01F4439,150218592,9987889066,Depot-02
KA01FA0544,150218148,9987898648,Depot-02
KA01F3057,150220386,9987895610,Depot-02
KA01FA0494,150220083,9987895593,Depot-02
KA01FA2253,150221280,9987899082,Depot-02
KA01F2651,150220382,9987895689,Depot-02
KA01F9311,150220393,9987899723,Depot-02
KA01FA1118,150218673,9987889871,Depot-02
KA01FA1123,150219104,9987891603,Depot-02
KA01FA0202,150221985,9987898398,Depot-02
KA01FA2022,150218777,9987891639,Depot-02
KA01FA0751,150222763,9987891608,Depot-02
KA01FA0997,150220932,9987899773,Depot-02
KA42F1673,150218550,9987891526,Depot-02
KA01FA2030,150218299,9987898174,Depot-02
KA01FA0212,150220909,9987898551,Depot-02
KA01FA2134,150218501,9987898317,Depot-02
KA01FA2135,150219270,9987898653,Depot-02
KA01FA0034,150221634,9987895880,Depot-02
KA01FA0632,150221100,9987898932,Depot-02
KA01FA0723,150219193,9987891579,Depot-02
KA01FA0784,150221401,9987899556,Depot-02
KA01FA0907,150219360,9987899405,Depot-02
KA01F3173,150221050,9987882616,Depot-08
KA01F3794,150221555,9987883044,Depot-08
KA01F3871,150220916,9987882829,Depot-08
KA01F3889,150220860,9987848573,Depot-08
KA01F3915,150218377,9987882902,Depot-08
KA01F4468,150222460,9987882979,Depot-08
KA57F0210,150218298,9987866774,Depot-03
KA57F1171,150220185,9987863927,Depot-03
KA57F1375,150219977,9987839620,Depot-03
KA01F8812,150218590,9987838898,Depot-03
KA01FA1717,150220778,9987864341,Depot-03
KA01FA0822,150218246,9987864327,Depot-03
KA01FA1731,150221248,9987837147,Depot-03
KA01FA0786,150219966,9987866728,Depot-03
KA01FA1801,150221082,9987837114,Depot-03
KA01F4432,150222705,9967549408,Depot-03
KA01FA2133,150219734,9987865287,Depot-03
KA01FA0252,150221644,9987865643,Depot-03
KA57F1168,150222132,9987838626,Depot-03
KA01FA0631,150220165,9987866315,Depot-03
KA57F1339,150219567,9987835857,Depot-03
KA01FA1475,150218925,9987866020,Depot-03
KA01F4824,150222616,9987835446,Depot-03
KA01FA1158,150222064,9987839733,Depot-03
KA01F4433,150222632,9987839484,Depot-03
KA01FA1006,150218571,9987838251,Depot-03
KA01FA2138,150221938,9987865121,Depot-03
KA01F4357,150219083,9987838821,Depot-03
KA01FA0479,150220072,9987866819,Depot-03
KA01FA2165,150219681,9987866234,Depot-03
KA01F2753,150218105,9987866727,Depot-03
KA01FA0795,150218643,9987866419,Depot-03
KA01F4354,150219778,9987837337,Depot-03
KA01F8920,150221575,9987866203,Depot-03
KA01F8700,150221617,9987866138,Depot-03
KA01F8858,150220342,9987866381,Depot-03
KA57F1489,150218611,9987839232,Depot-44
KA01FA1361,150218596,9987839331,Depot-03
KA01F4740,150218994,9987866896,Depot-03
KA01FA1307,150221564,9987839912,Depot-03
KA01F4906,150219479,9987866863,Depot-03
KA57F0274,150218764,9987791124,Depot-26
KA57F0387,150218697,9987790483,Depot-26
KA57F0782,150218027,9987790343,Depot-26
KA57F0308,150218584,9987850896,Depot-26
KA01F9520,150218984,9987791521,Depot-26
KA57F0426,150219026,9987791330,Depot-26
KA57F0499,150218372,9987791734,Depot-26
KA57F1417,150222493,9987856307,Depot-26
KA57F0419,150219102,9987790611,Depot-26
KA01F4386,150219022,9987802189,Depot-04
KA57F1178,150222381,9987789139,Depot-04
KA57F1428,150219103,9987787648,Depot-04
KA57F1426,150218054,9987825480,Depot-04
KA57F1427,150222094,9987826505,Depot-04
KA57F440,150222633,9987800672,Depot-04
KA01F4736,150220458,9987824800,Depot-04
KA01F4789,150220422,9987801826,Depot-04
KA01F4799,150218516,9987801603,Depot-04
KA57F1320,150222229,9987801393,Depot-04
KA01F4756,150218669,9987788526,Depot-04
KA57F1071,150219060,9987788907,Depot-04
KA01FA1705,150218460,9987801976,Depot-04
KA57F443,150222706,9987787590,Depot-04
KA01F8934,150222416,9987802177,Depot-04
KA01F9303,150220661,9987801648,Depot-04
KA01F3075,150218275,9987827008,Depot-04
KA01F8814,150222856,9987802511,Depot-04
KA01F9369,150218681,9987826532,Depot-04
KA01F3645,150222665,9987797967,Depot-04
KA01FA0648,150219777,9987789517,Depot-44
KA01F3941,150218065,9987801946,Depot-04
KA01FA1666,150219708,9987824832,Depot-04
KA01F4355,150222832,9987789542,Depot-04
KA57F1432,150218682,9987824302,Depot-04
KA01F9365,150218505,9987787401,Depot-04
KA01F9521,150219432,9987788679,Depot-04
KA01FA1825,150222554,9987800208,Depot-04
KA57F273,150218661,9987823962,Depot-04
KA57F1180,150222409,9987853806,Depot-26
KA57F1411,150218434,9987853397,Depot-26
KA57F0395,150218835,9987850531,Depot-26
KA57F0960,150222638,9987854886,Depot-26
KA01F9032,150218855,9987825768,Depot-04
KA01F2270,150219463,9987789112,Depot-04
KA01F3995,150222471,9987823579,Depot-04
KA57F0300,150221813,9987835815,Depot-03
KA01F4329,150221487,9987835899,Depot-03
KA01FA1000,150222795,9987834565,Depot-03
KA01FA0052,150221802,9987864012,Depot-03
KA01F4984,150221062,9987864593,Depot-03
KA01FA1775,150222519,9987835312,Depot-03
KA01FA2131,150222452,9987834561,Depot-03
KA01F8857,150221844,9987863936,Depot-03
KA01F9455,150222634,9987836004,Depot-03
KA57F1371,150221271,9987863996,Depot-03
KA57F0833,150219716,9987864748,Depot-03
KA01FA1670,150218568,9987864105,Depot-03
KA57F1439,150218981,9987864090,Depot-44
KA01FA2036,150220039,9987865342,Depot-03
KA01FA0643,150218623,9987865177,Depot-03
KA57F1477,150220275,9987858844,Depot-32
KA57F1399,150218140,9987856782,Depot-32
KA01FA1048,150219064,9987859330,Depot-24
KA01FA0029,150218119,9987890846,Depot-02
KA01FA0354,150219701,9987880317,Depot-24
KA57F0172,150218300,9987889462,Depot-03
KA01F9556,150221102,9987891330,Depot-02
KA01F9381,150218450,9987889540,Depot-02
KA01FA0447,150218723,9987812939,Depot-15
KA01FA0990,150219143,9987861540,Depot-24
KA53F0066,150222446,9987891935,Depot-02
KA01FA1020,150221009,9987859083,Depot-24
KA01FA1311,150218890,9987815147,Depot-15
KA01FA0893,150218908,9987859484,Depot-24
KA01FA1035,150221816,9987858841,Depot-24
KA01FA0241,150218719,9987812989,Depot-15
KA01FA1188,150222715,9987860263,Depot-24
KA01F3463,150219088,9987826543,Depot-04
KA01FA1143,150219737,9987861751,Depot-24
KA01FA0980,150220268,9987876311,Depot-24
KA01FA0123,150218573,9987813025,Depot-15
KA01FA1040,150218742,9987861593,Depot-24
KA01FA0772,150219735,9987858995,Depot-24
KA57F1469,150220913,9987880189,Depot-24
KA01FA1138,150220820,9987876306,Depot-24
KA01FA0969,150218466,9987860921,Depot-24
