vehicle_no,schedule_no,sim_number,depot,last_inserted_tm
KA01FA1388,12/2,9967514671,Depot-20,2016-10-20 11:00:11
KA01F8773,12/3,9987787214,Depot-04,2016-10-20 11:00:07
KA01FA1799,12/4,9987785281,Depot-20,2016-10-20 11:00:11
KA57F0402,12/5,9987783531,Depot-33,2016-10-20 11:00:07
KA01FA0001,12/8,9967500170,Depot-21,2016-10-20 11:00:10
KA57F1527,121A/1,9987781727,Depot-16,2016-10-20 11:00:09
KA01F3828,122/1,9967516714,Depot-10,2016-10-20 11:00:07
KA01F3528,123/1,9967516524,Depot-10,2016-10-20 11:00:07
KA57F1526,125/1,9987855158,Depot-26,2016-10-20 11:00:09
KA01F4723,125E/1,9987874019,Depot-02,2016-10-20 11:00:10
KA01F4341,126A/1,9987792596,Depot-16,2016-10-20 11:00:06
KA01F4463,127/1,9967515809,Depot-10,2016-10-20 11:00:07
KA01FA0476,127/2,9987899760,Depot-02,2016-10-20 11:00:10
KA01FA0661,127/4,9987891642,Depot-02,2016-10-20 11:00:05
KA01FA0460,127/5,9987891436,Depot-02,2016-10-20 11:00:10
KA01FA2059,128/1,9967516229,Depot-10,2016-10-20 11:00:09
KA57F0230,129/1,9987865709,Depot-03,2016-10-20 11:00:06
KA01FA0389,129/3,9987899653,Depot-02,2016-10-20 11:00:05
KA57F0337,129/4,9987889363,Depot-02,2016-10-20 11:00:06
KA01F3832,129/5,9987852313,Depot-26,2016-10-20 11:00:11
KA01FA1271,129/6,9987896008,Depot-02,2016-10-20 11:00:06
KA01FA0395,129/7,9987891522,Depot-02,2016-10-20 11:00:05
KA01F4844,12B/4,9967505859,Depot-20,2016-10-20 11:00:08
KA01F3979,12B/5,9967508452,Depot-20,2016-10-20 11:00:06
KA01F8934,12B/7,9987802177,Depot-04,2016-10-20 11:00:05
KA01F2649,12D/1,9987784654,Depot-20,2016-10-20 11:00:11
KA01F3106,12E/1,9987786971,Depot-04,2016-10-20 11:00:05
KA01F9540,12F/1,9987799389,Depot-33,2016-10-20 11:00:07
KA57F1462,12F-1/1,9967546438,Depot-39,2016-10-20 11:00:07
KA57F1360,12F-1/2,9967546654,Depot-39,2016-10-20 11:00:08
KA57F1386,12F-1/3,9987794803,Depot-39,2016-10-20 11:00:10
KA57F1387,12F-1/4,9967547191,Depot-39,2016-10-20 11:00:07
KA57F0517,12F-2/1,9967546212,Depot-39,2016-10-20 11:00:07
KA57F1389,12F-2/2,9987806098,Depot-39,2016-10-20 11:00:07
KA57F1471,12F-2/3,9987783726,Depot-41,2016-10-20 11:00:10
KA57F1472,12F-2/4,9967470891,Depot-41,2016-10-20 11:00:10
KA57F1385,12F-3/1,9967546220,Depot-39,2016-10-20 11:00:08
KA57F1448,12F-3/2,9967498819,Depot-41,2016-10-20 11:00:09
KA57F1458,12F-3/3,9967471823,Depot-41,2016-10-20 11:00:08
KA01FA0919,12F-5/10,9967553253,Depot-41,2016-10-20 11:00:08
KA01FA1128,12F-5/11,9967485837,Depot-41,2016-10-20 11:00:08
KA01FA0640,12F-5/14,9967466203,Depot-41,2016-10-20 11:00:08
KA01FA0957,12F-5/1,9967553625,Depot-41,2016-10-20 11:00:08
KA57F1388,12F-5/3,9987805675,Depot-39,2016-10-20 11:00:07
KA01FA1055,12F-5/4,9967466978,Depot-41,2016-10-20 11:00:08
KA57F1450,12F-5/5,9967546347,Depot-39,2016-10-20 11:00:07
KA57F1560,12F-5/6,9967546097,Depot-39,2016-10-20 11:00:09
KA01F2766,12F-5/9,9987796109,Depot-39,2016-10-20 11:00:10
KA01FA0824,13/1,9987895387,Depot-02,2016-10-20 11:00:06
KA01F8708,13/2,9987786978,Depot-04,2016-10-20 11:00:07
KA01FA1644,131/7,8828028572,Depot-06,2016-10-20 11:00:06
KA01FA2061,137/2,9967505742,Depot-08,2016-10-20 11:00:10
KA01FA1419,137/5,8828031221,Depot-06,2016-10-20 11:00:05
KA01F3272,138/11,9987846316,Depot-08,2016-10-20 11:00:11
KA57F0254,138/12,9987780440,Depot-03,2016-10-20 11:00:10
KA01F3169,138/13,9987881687,Depot-08,2016-10-20 11:00:06
KA57F0601,138/1,8828028512,Depot-06,2016-10-20 11:00:05
KA01F9493,138/2,9987884857,Depot-06,2016-10-20 11:00:05
KA01FA0047,138/3,9987885283,Depot-06,2016-10-20 11:00:05
KA01F9372,138/4,9987885051,Depot-06,2016-10-20 11:00:05
KA01F3462,138/5,9867308074,Depot-06,2016-10-20 11:00:10
KA01FA2032,138/6,9987864277,Depot-03,2016-10-20 11:00:06
KA01F4860,138/7,8828028524,Depot-06,2016-10-20 11:00:06
KA01F9283,138A/3,9987884534,Depot-06,2016-10-20 11:00:05
KA57F0556,139/1,9987884811,Depot-06,2016-10-20 11:00:05
KA57F0837,139/2,8828031202,Depot-06,2016-10-20 11:00:05
KA01F9584,139/3,9987884665,Depot-06,2016-10-20 11:00:05
KA57F0433,13A/1,9987796588,Depot-33,2016-10-20 11:00:11
KA01F9576,13A/2,9987782992,Depot-33,2016-10-20 11:00:07
KA01F2866,13B/1,9987800927,Depot-04,2016-10-20 11:00:11
KA53F0066,13B/2,9987891935,Depot-02,2016-10-20 11:00:05
KA01F9408,13B/3,9987889545,Depot-02,2016-10-20 11:00:05
KA01F4439,13B/4,9987889066,Depot-02,2016-10-20 11:00:05
KA01F4755,13C/1,9987881012,Depot-03,2016-10-20 11:00:10
KA57F0144,13C/2,9987891547,Depot-02,2016-10-20 11:00:05
KA57F0297,13C/3,9987891451,Depot-02,2016-10-20 11:00:05
KA01F2309,13D/1,9987789022,Depot-04,2016-10-20 11:00:05
KA01FA1381,13E/1,9987819668,Depot-20,2016-10-20 11:00:10
KA01FA1823,13E/4,9987891938,Depot-02,2016-10-20 11:00:05
KA01FA0954,13F/1,9987783926,Depot-20,2016-10-20 11:00:06
KA01FA0113,13G/1,9987787400,Depot-04,2016-10-20 11:00:09
KA01F2713,13H/2,9987848621,Depot-03,2016-10-20 11:00:10
KA01FA0228,13J/1,9967509887,Depot-20,2016-10-20 11:00:07
KA01FA1261,13K/1,9987784904,Depot-20,2016-10-20 11:00:10
KA01F3190,13S/1,9967506015,Depot-20,2016-10-20 11:00:11
KA01F9455,14/4,9987836004,Depot-03,2016-10-20 11:00:05
KA01F2241,140/1,9987811369,Depot-15,2016-10-20 11:00:10
KA01F3427,140A/1,9987793436,Depot-15,2016-10-20 11:00:05
KA01FA0612,140E/1,9867489665,Depot-15,2016-10-20 11:00:10
KA01FA1258,140E/2,9987813906,Depot-15,2016-10-20 11:00:05
KA01FA2394,141/1,8828028553,Depot-06,2016-10-20 11:00:10
KA01FA0875,141/2,9987898567,Depot-02,2016-10-20 11:00:09
KA01FA0058,141/3,9987899718,Depot-02,2016-10-20 11:00:05
KA01F2809,141A/1,9987805754,Depot-15,2016-10-20 11:00:08
KA01FA0750,141B/1,9987815080,Depot-15,2016-10-20 11:00:06
KA01FA0180,141E/1,9987889326,Depot-02,2016-10-20 11:00:05
KA01F2651,141E/2,9987895689,Depot-02,2016-10-20 11:00:05
KA01FA0009,141E/3,9987898417,Depot-02,2016-10-20 11:00:05
KA01F2872,141K/1,9987811923,Depot-15,2016-10-20 11:00:09
KA01FA0211,143/1,9987887518,Depot-06,2016-10-20 11:00:05
KA01FA0538,143/2,9987895916,Depot-02,2016-10-20 11:00:05
KA01FA0417,143/4,9987895261,Depot-02,2016-10-20 11:00:05
KA01FA0084,143/5,9987885402,Depot-06,2016-10-20 11:00:05
KA01F4391,143/6,9987793411,Depot-15,2016-10-20 11:00:06
KA01FA0438,143/7,9987891612,Depot-02,2016-10-20 11:00:05
KA01F3799,143A/1,9987781280,Depot-16,2016-10-20 11:00:09
KA01F3263,143A/2,9967494216,Depot-16,2016-10-20 11:00:10
KA01F3310,143E/1,9987813101,Depot-15,2016-10-20 11:00:05
KA01FA0012,143E/2,9987866963,Depot-03,2016-10-20 11:00:06
KA01FA0020,144/1,9987815632,Depot-15,2016-10-20 11:00:08
KA01FA0406,144/2,9987899737,Depot-02,2016-10-20 11:00:11
KA01F2703,144/3,9987815880,Depot-15,2016-10-20 11:00:06
KA01FA0129,144A/1,9987793386,Depot-15,2016-10-20 11:00:10
KA01FA0167,144E/1,9987813589,Depot-15,2016-10-20 11:00:09
KA01FA0320,144E/2,9987813152,Depot-15,2016-10-20 11:00:11
KA01FA0939,144E/3,9987805901,Depot-15,2016-10-20 11:00:06
KA01F4951,144E/4,9987863102,Depot-15,2016-10-20 11:00:10
KA01F4758,144E/5,8828028490,Depot-06,2016-10-20 11:00:05
KA01FA1374,144E/6,9987884569,Depot-06,2016-10-20 11:00:06
KA01FA1306,144E/7,9987793362,Depot-02,2016-10-20 11:00:09
KA01FA0125,144G/2,9987814036,Depot-15,2016-10-20 11:00:05
KA01F4701,144H/1,9987891229,Depot-02,2016-10-20 11:00:10
KA01F4362,144H/2,9987864579,Depot-03,2016-10-20 11:00:10
KA01FA0092,144K/1,8828028613,Depot-06,2016-10-20 11:00:06
KA01FA0478,144K/2,9987899629,Depot-02,2016-10-20 11:00:05
KA01F3922,145/1,9987838995,Depot-03,2016-10-20 11:00:05
KA01FA1196,145/4,9987887291,Depot-06,2016-10-20 11:00:05
KA01F9366,145/5,9987898368,Depot-02,2016-10-20 11:00:05
KA01F2919,145A/1,9987864998,Depot-03,2016-10-20 11:00:06
KA01FA1583,145A/2,9987887339,Depot-06,2016-10-20 11:00:10
KA01FA1838,146/2,9987814898,Depot-15,2016-10-20 11:00:10
KA01F3911,146/3,9987793439,Depot-15,2016-10-20 11:00:07
KA01FA0908,146B/1,9987815061,Depot-15,2016-10-20 11:00:10
KA01F3931,146D/1,9987814370,Depot-15,2016-10-20 11:00:05
KA01FA0387,146E/1,9987793206,Depot-15,2016-10-20 11:00:07
KA01FA0894,150/2,9987865144,Depot-03,2016-10-20 11:00:06
KA53F0011,150/3,9987840254,Depot-03,2016-10-20 11:00:06
KA57F0292,150/4,9987836370,Depot-03,2016-10-20 11:00:06
KA01FA0038,150/5,9987895561,Depot-02,2016-10-20 11:00:05
KA57F0301,150/7,9987835465,Depot-03,2016-10-20 11:00:08
KA01F9542,150/8,8828031340,Depot-02,2016-10-20 11:00:10
KA01F3634,154/1,9987781586,Depot-16,2016-10-20 11:00:09
KA01F3902,154/2,8828031297,Depot-16,2016-10-20 11:00:10
KA01FA1999,155/2,9987792188,Depot-16,2016-10-20 11:00:07
KA57F1319,15A/2,9987825316,Depot-04,2016-10-20 11:00:06
KA01FA0440,15A/3,9987784385,Depot-20,2016-10-20 11:00:10
KA01FA0119,15A/4,9987797971,Depot-33,2016-10-20 11:00:07
KA01F3303,15A/5,9987821128,Depot-20,2016-10-20 11:00:06
KA01FA1197,15A/6,9987823812,Depot-04,2016-10-20 11:00:06
KA01FA0846,15C/1,9987866560,Depot-03,2016-10-20 11:00:10
KA01F3360,15C/2,8828031041,Depot-04,2016-10-20 11:00:10
KA53F0228,15E/1,9987797580,Depot-33,2016-10-20 11:00:07
KA01F4753,15E/2,9987784147,Depot-20,2016-10-20 11:00:06
KA57F0915,15E/3,9967492849,Depot-21,2016-10-20 11:00:08
KA01F8706,15E/4,9987824413,Depot-04,2016-10-20 11:00:06
KA01FA0488,15E/5,9967517119,Depot-21,2016-10-20 11:00:10
KA01FA0480,15E/7,9987784657,Depot-20,2016-10-20 11:00:06
KA57F0046,15E/9,9967493530,Depot-21,2016-10-20 11:00:08
KA01F3371,15F/1,9987787371,Depot-04,2016-10-20 11:00:10
KA01F3645,15F/2,9987797967,Depot-04,2016-10-20 11:00:05
KA01FA0046,15G/1,9967561349,Depot-03,2016-10-20 11:00:10
KA01F4756,15G/2,9987788526,Depot-04,2016-10-20 11:00:05
KA01F8920,15G/3,9987866203,Depot-03,2016-10-20 11:00:05
KA57F0388,15G/4,9987783698,Depot-33,2016-10-20 11:00:08
KA01F2828,15K/1,9987796562,Depot-33,2016-10-20 11:00:07
KA01F3949,16/3,9987899781,Depot-02,2016-10-20 11:00:05
KA01FA0461,161B/1,9987899517,Depot-02,2016-10-20 11:00:10
KA01F4359,161D/1,9987793537,Depot-15,2016-10-20 11:00:10
KA01FA1285,161D/2,60,Depot-02,2016-10-20 11:00:05
KA42F1668,162/2,9987885230,Depot-06,2016-10-20 11:00:06
KA01FA1585,162D/2,9987781732,Depot-16,2016-10-20 11:00:09
KA42F1703,162E/1,9987810772,Depot-15,2016-10-20 11:00:06
KA01F2699,163C/1,9987793528,Depot-15,2016-10-20 11:00:06
KA01FA0184,163D/1,9987813036,Depot-15,2016-10-20 11:00:05
KA53F0043,163G/1,9987840032,Depot-03,2016-10-20 11:00:10
KA01F9398,164/2,9987889859,Depot-02,2016-10-20 11:00:06
KA01FA0055,164/3,9987899758,Depot-02,2016-10-20 11:00:09
KA01FA1227,164/4,9987793229,Depot-15,2016-10-20 11:00:06
KA42F1704,165C/1,9987812103,Depot-15,2016-10-20 11:00:10
KA57F0311,166/2,9987890262,Depot-02,2016-10-20 11:00:06
KA01FA0544,166/3,9987898648,Depot-02,2016-10-20 11:00:05
KA57F1394,166/4,9987811982,Depot-15,2016-10-20 11:00:06
KA01FA0508,168A/1,9987890169,Depot-02,2016-10-20 11:00:05
KA01F4373,168D/1,9987864264,Depot-03,2016-10-20 11:00:05
KA57F1489,168D/2,9987839232,Depot-03,2016-10-20 11:00:05
KA57F1499,168DA/1,9987864611,Depot-03,2016-10-20 11:00:10
KA57F1376,168E/1,9987837654,Depot-03,2016-10-20 11:00:05
KA01FA0040,168E/2,9987889581,Depot-02,2016-10-20 11:00:05
KA01F3825,169/1,9987852383,Depot-26,2016-10-20 11:00:07
KA42F1695,170/3,9987792059,Depot-16,2016-10-20 11:00:06
KA01FA1771,171/10,9987812069,Depot-15,2016-10-20 11:00:06
KA01F3936,171/11,9987815787,Depot-15,2016-10-20 11:00:05
KA01F4397,171/12,9987793454,Depot-15,2016-10-20 11:00:07
KA53F0047,171/13,9987811596,Depot-15,2016-10-20 11:00:06
KA01FA0025,171/14,9987866145,Depot-03,2016-10-20 11:00:06
KA01FA1794,171/15,9987780688,Depot-03,2016-10-20 11:00:10
KA01FA1386,171/17,9987810983,Depot-15,2016-10-20 11:00:10
KA42F1713,171/1,9967515985,Depot-10,2016-10-20 11:00:07
KA53F0044,171/2,9987794074,Depot-15,2016-10-20 11:00:08
KA01F4885,171/3,9987835792,Depot-03,2016-10-20 11:00:06
KA01FA1909,171/5,9987811381,Depot-15,2016-10-20 11:00:06
KA01F3993,171/6,9987812901,Depot-15,2016-10-20 11:00:09
KA01F3205,171/7,9987812656,Depot-15,2016-10-20 11:00:06
KA01F3988,171/8,9987862176,Depot-03,2016-10-20 11:00:10
KA01F3997,171/9,9987814670,Depot-15,2016-10-20 11:00:09
KA01FA1804,171A/2,9987811318,Depot-15,2016-10-20 11:00:10
KA01FA2175,171B/2,9987769643,Depot-14,2016-10-20 11:00:07
KA01FA0819,171F/1,9987813376,Depot-15,2016-10-20 11:00:09
KA01FA0632,171F/2,9987898932,Depot-02,2016-10-20 11:00:05
KA01FA1424,171F/3,9987814226,Depot-15,2016-10-20 11:00:09
KA01F4479,171G/1,9987814722,Depot-15,2016-10-20 11:00:06
KA01F4477,171G/2,9987805758,Depot-15,2016-10-20 11:00:07
KA01F8803,171G/3,9987839373,Depot-03,2016-10-20 11:00:10
KA01FA1805,171G/4,9987805927,Depot-15,2016-10-20 11:00:06
KA01FA2028,171G/5,9987805808,Depot-15,2016-10-20 11:00:06
KA01FA1857,171G/6,9987793408,Depot-15,2016-10-20 11:00:06
KA01FA1731,171G/7,9987837147,Depot-03,2016-10-20 11:00:05
KA01FA1693,171G/8,9987866812,Depot-03,2016-10-20 11:00:11
KA01F4542,171H/1,9892895978,Depot-03,2016-10-20 11:00:10
KA01FA1252,171J/1,9987811975,Depot-15,2016-10-20 11:00:05
KA01F3769,173A/1,9987883517,Depot-08,2016-10-20 11:00:11
KA01F9358,174/1,9987882219,Depot-08,2016-10-20 11:00:06
KA01FA1854,174A/1,9987851497,Depot-26,2016-10-20 11:00:07
KA01F4746,176/10,9967493539,Depot-17,2016-10-20 11:00:09
KA01F9383,176/11,9967459200,Depot-17,2016-10-20 11:00:08
KA57F0948,176/12,8828028628,Depot-14,2016-10-20 11:00:10
KA01FA2190,176/13,9987793768,Depot-16,2016-10-20 11:00:07
KA01F3835,176/15,9987769189,Depot-14,2016-10-20 11:00:07
KA01F3813,176/16,9987769642,Depot-14,2016-10-20 11:00:10
KA42F1718,176/19,9987780869,Depot-16,2016-10-20 11:00:10
KA01F8623,176/1,9987769411,Depot-14,2016-10-20 11:00:07
KA57F0825,176/20,9967504816,Depot-14,2016-10-20 11:00:06
KA57F1002,176/21,9987769064,Depot-14,2016-10-20 11:00:07
KA01F3511,176/22,9967457125,Depot-17,2016-10-20 11:00:08
KA01F3808,176/24,9987849975,Depot-14,2016-10-20 11:00:11
KA01F3129,176/2,9967475157,Depot-17,2016-10-20 11:00:11
KA01F3422,176/3,9987769622,Depot-14,2016-10-20 11:00:06
KA01F8622,176/4,9967478364,Depot-17,2016-10-20 11:00:10
KA01F3047,176/5,9987769601,Depot-14,2016-10-20 11:00:10
KA01F3394,176/6,9967505408,Depot-14,2016-10-20 11:00:07
KA57F0084,176/7,9967478804,Depot-17,2016-10-20 11:00:10
KA01FA2233,176/8,9987898873,Depot-17,2016-10-20 11:00:10
KA01FA1974,176/9,9967478269,Depot-17,2016-10-20 11:00:09
KA01F3851,176C/3,9967487329,Depot-08,2016-10-20 11:00:11
KA01FA0145,176C/4,9967457628,Depot-17,2016-10-20 11:00:08
KA01F3527,176CA/1,9967505443,Depot-14,2016-10-20 11:00:10
KA01F3159,176CA/2,9987769398,Depot-14,2016-10-20 11:00:11
KA01F3780,176E/1,9987792750,Depot-16,2016-10-20 11:00:10
KA57F0959,176G/1,9987791554,Depot-26,2016-10-20 11:00:05
KA01FA0024,177/1,9987784069,Depot-20,2016-10-20 11:00:06
KA57F1517,177/2,9987883351,Depot-08,2016-10-20 11:00:09
KA01FA0247,178/1,9987823630,Depot-04,2016-10-20 11:00:06
KA01FA1756,18/2,9987789507,Depot-04,2016-10-20 11:00:07
KA01F9297,18/3,9867362324,Depot-04,2016-10-20 11:00:10
KA01F9505,18/4,9987825688,Depot-04,2016-10-20 11:00:06
KA01F3989,18/5,9987823621,Depot-04,2016-10-20 11:00:05
KA01F4790,18/7,9987801823,Depot-04,2016-10-20 11:00:05
KA01F4551,18/8,9987789181,Depot-04,2016-10-20 11:00:07
KA57F286,18/9,9987803109,Depot-04,2016-10-20 11:00:10
KA50F0178,180/1,9967547394,Depot-31,2016-10-20 11:00:09
KA01F3004,180/2,9987781059,Depot-16,2016-10-20 11:00:11
KA01F3815,180/3,9967505809,Depot-14,2016-10-20 11:00:11
KA01F3875,180/5,9987785276,Depot-16,2016-10-20 11:00:10
KA01F3814,180/7,9967505850,Depot-14,2016-10-20 11:00:07
KA01FA1772,181/1,9987882185,Depot-08,2016-10-20 11:00:06
KA01F3056,181/3,9987842207,Depot-08,2016-10-20 11:00:06
KA01FA1661,181/4,8828031146,Depot-04,2016-10-20 11:00:10
KA01FA0127,182/1,9987822899,Depot-04,2016-10-20 11:00:09
KA57F1128,190/1,9987787242,Depot-04,2016-10-20 11:00:07
KA01F8826,195/1,9967549831,Depot-17,2016-10-20 11:00:10
KA01F8883,195/2,9967459213,Depot-17,2016-10-20 11:00:10
KA01F8972,195/3,9967492541,Depot-17,2016-10-20 11:00:11
KA01F4928,195/5,9987895357,Depot-02,2016-10-20 11:00:05
KA42F1693,195/7,9967480717,Depot-17,2016-10-20 11:00:08
KA01F9392,196/1,9967479275,Depot-17,2016-10-20 11:00:08
KA01FA0836,197/1,8828031214,Depot-06,2016-10-20 11:00:11
KA57F1571,19E/1,9987882561,Depot-08,2016-10-20 11:00:09
KA53F0030,2/11,9987792062,Depot-16,2016-10-20 11:00:07
KA01F4355,2/12,9987789542,Depot-04,2016-10-20 11:00:05
KA01F1994,2/13,9987802301,Depot-04,2016-10-20 11:00:05
KA01FA0164,2/14,9987787149,Depot-04,2016-10-20 11:00:07
KA01FA1293,2/16,9987787209,Depot-04,2016-10-20 11:00:05
KA01F3991,2/1,9987802383,Depot-04,2016-10-20 11:00:07
KA01FA411,2/3,9987787428,Depot-04,2016-10-20 11:00:09
KA57F0347,2/4,9967505728,Depot-22,2016-10-20 11:00:07
KA01FA1732,2/5,9987797519,Depot-33,2016-10-20 11:00:07
KA01FA1769,2/7,9987783064,Depot-33,2016-10-20 11:00:08
KA01F3135,2/8,9987801244,Depot-04,2016-10-20 11:00:05
KA01FA1503,2/9,9967461342,Depot-30,2016-10-20 11:00:09
KA01FA0822,20/2,9987864327,Depot-03,2016-10-20 11:00:05
KA01F3939,20/5,9987837374,Depot-03,2016-10-20 11:00:09
KA01FA0434,201/10,9987787321,Depot-04,2016-10-20 11:00:09
KA01F9303,201/11,9987801648,Depot-04,2016-10-20 11:00:05
KA57F0466,201/12,8828028534,Depot-06,2016-10-20 11:00:05
KA01F9443,201/13,9987887107,Depot-06,2016-10-20 11:00:05
KA57F0838,201/14,8828028480,Depot-06,2016-10-20 11:00:05
KA57F0494,201/15,8828028468,Depot-06,2016-10-20 11:00:05
KA01F8765,201/16,8828028471,Depot-06,2016-10-20 11:00:05
KA50F0100,201/17,9987823521,Depot-04,2016-10-20 11:00:09
KA01FA0275,201/18,9987789763,Depot-04,2016-10-20 11:00:05
KA01F9436,201/1,9987899432,Depot-02,2016-10-20 11:00:05
KA57F0727,201/20,9987784763,Depot-20,2016-10-20 11:00:06
KA01F8775,201/21,9987866358,Depot-03,2016-10-20 11:00:06
KA57F0210,201/22,9987866774,Depot-03,2016-10-20 11:00:05
KA01F9424,201/23,9987787491,Depot-04,2016-10-20 11:00:07
KA01F9310,201/24,9987789287,Depot-04,2016-10-20 11:00:07
KA01F4894,201/25,9987824828,Depot-04,2016-10-20 11:00:05
KA57F0516,201/27,9967505904,Depot-20,2016-10-20 11:00:06
KA01F4364,201/28,9987823865,Depot-04,2016-10-20 11:00:05
KA01F4549,201/2,9987839926,Depot-03,2016-10-20 11:00:06
KA01F8813,201/3,9987864159,Depot-03,2016-10-20 11:00:08
KA57F0505,201/4,9987866804,Depot-03,2016-10-20 11:00:06
KA01F2603,201/5,8828031226,Depot-04,2016-10-20 11:00:10
KA57F1331,201/6,9987823185,Depot-04,2016-10-20 11:00:05
KA01F9304,201/7,9987788950,Depot-04,2016-10-20 11:00:07
KA01FA0013,201/8,9987793066,Depot-15,2016-10-20 11:00:05
KA01F2557,201/9,9987802966,Depot-04,2016-10-20 11:00:05
KA01F9388,201B/1,9987800954,Depot-04,2016-10-20 11:00:05
KA57F0725,201C/1,9987784827,Depot-20,2016-10-20 11:00:06
KA01F4393,201D/1,8828028513,Depot-06,2016-10-20 11:00:05
KA01FA1009,201E/1,9987899441,Depot-02,2016-10-20 11:00:09
KA57F1320,201G/1,9987801393,Depot-04,2016-10-20 11:00:05
KA53F0121,201H/2,9987784637,Depot-20,2016-10-20 11:00:06
KA01F8574,201HA/1,9967459205,Depot-21,2016-10-20 11:00:10
KA01FA0864,201J/10,9987886626,Depot-06,2016-10-20 11:00:06
KA01FA1508,201J/11,9967505928,Depot-20,2016-10-20 11:00:06
KA01F9532,201J/12,8828031204,Depot-06,2016-10-20 11:00:05
KA01FA1691,201J/13,8828028474,Depot-06,2016-10-20 11:00:05
